PassengerId,HomePlanet,CryoSleep,CABIN_DECK,CABIN_NUMBER,CABIN_SIDE,CABIN,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
5691_01,Mars,TRUE,F,1086,S,F/1086/S,TRAPPIST-1e,46,FALSE,0,0,0,0,0,Aard Backo,
5988_01,Mars,FALSE,F,1235,P,F/1235/P,55 Cancri e,44,FALSE,2956,0,10,12,692,Aard Curle,FALSE
4697_01,Mars,TRUE,F,884,S,F/884/S,TRAPPIST-1e,25,FALSE,0,0,0,0,0,Aard Kraie,
4208_01,Mars,FALSE,D,144,P,D/144/P,55 Cancri e,37,FALSE,326,0,455,2,0,Aarjel Jaff,FALSE
3095_01,Mars,FALSE,F,585,S,F/585/S,PSO J318.5-22,71,FALSE,924,1284,10,9,0,Aarjel Rhuba,FALSE
1684_01,Mars,FALSE,F,332,P,F/332/P,TRAPPIST-1e,44,FALSE,684,0,605,0,0,Aarjel Vlate,
1913_03,Mars,TRUE,F,381,P,F/381/P,TRAPPIST-1e,13,FALSE,0,0,0,0,0,Aark Ane,
8465_01,Mars,FALSE,E,542,P,E/542/P,TRAPPIST-1e,35,FALSE,0,0,0,0,0,Aark Ches,FALSE
8852_01,Mars,TRUE,D,278,P,D/278/P,TRAPPIST-1e,76,FALSE,0,0,0,0,0,Aark Homin,TRUE
3526_01,Mars,FALSE,F,728,P,F/728/P,TRAPPIST-1e,27,FALSE,1023,531,245,734,65,Aark Man,
2256_01,Earth,TRUE,G,360,S,G/360/S,TRAPPIST-1e,47,FALSE,0,0,0,0,0,Aarone Batestonley,TRUE
1233_01,Earth,TRUE,G,184,P,G/184/P,PSO J318.5-22,22,FALSE,0,0,0,0,0,Aarone Burryerson,TRUE
4005_02,Earth,FALSE,G,657,P,G/657/P,TRAPPIST-1e,17,FALSE,3,83,927,0,1,Aarone Castannison,TRUE
1963_01,Earth,FALSE,F,391,P,F/391/P,TRAPPIST-1e,43,FALSE,0,0,0,1200,17,Aarone Fowlaney,FALSE
3051_01,Earth,FALSE,G,496,P,G/496/P,TRAPPIST-1e,42,FALSE,56,3,0,1771,514,Aarone Fredersend,
1547_01,Earth,FALSE,F,301,S,F/301/S,TRAPPIST-1e,21,FALSE,163,0,661,32,0,Aarone Hoppers,FALSE
6317_01,Earth,FALSE,F,1208,S,F/1208/S,TRAPPIST-1e,13,FALSE,898,0,0,,24,Aarone Lewintos,FALSE
2135_02,Earth,FALSE,E,129,P,E/129/P,TRAPPIST-1e,23,FALSE,426,0,362,0,0,Aarone Monroellynn,FALSE
3905_01,Earth,TRUE,G,638,S,G/638/S,PSO J318.5-22,17,FALSE,0,0,0,0,0,Aarone Patrichane,
4440_01,Mars,FALSE,F,911,P,F/911/P,TRAPPIST-1e,23,FALSE,,282,0,0,71,Aarone Sweett,TRUE
4128_02,Mars,FALSE,F,846,P,F/846/P,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Aars Pare,TRUE
1200_01,Europa,TRUE,C,47,S,C/47/S,55 Cancri e,52,FALSE,0,0,0,0,,Acceleb Alutorody,
7827_01,Europa,TRUE,B,304,S,B/304/S,TRAPPIST-1e,58,FALSE,0,0,0,0,0,Acceleb Mormonized,
6843_01,Europa,TRUE,B,260,S,B/260/S,TRAPPIST-1e,21,FALSE,0,,0,0,0,Acceleb Rimplighty,TRUE
2564_01,Europa,FALSE,E,179,S,E/179/S,TRAPPIST-1e,42,FALSE,2,3024,0,89,10,Acceleb Unrent,TRUE
0907_01,Europa,FALSE,B,34,P,B/34/P,55 Cancri e,41,FALSE,0,5738,7,9038,28,Achah Cassiding,FALSE
6036_01,Europa,FALSE,C,225,S,C/225/S,TRAPPIST-1e,44,FALSE,0,1289,1224,514,1674,Achah Stpingepid,TRUE
8076_02,Europa,FALSE,C,263,P,C/263/P,55 Cancri e,29,FALSE,2686,0,0,2854,2553,Achbah Emetillove,FALSE
8015_03,Europa,TRUE,B,315,S,B/315/S,55 Cancri e,32,FALSE,0,0,0,0,0,Achbah Fansty,TRUE
7070_01,Europa,FALSE,A,74,P,A/74/P,55 Cancri e,57,FALSE,0,1830,0,0,89,Achbah Forous,
0845_01,Europa,FALSE,B,31,S,B/31/S,55 Cancri e,57,FALSE,2651,2956,0,266,1300,Achbah Fueling,FALSE
5328_01,Europa,TRUE,C,166,P,C/166/P,TRAPPIST-1e,36,FALSE,0,0,0,0,0,Achib Dischod,
2839_01,Europa,FALSE,C,107,S,C/107/S,TRAPPIST-1e,51,FALSE,1,3935,0,146,0,Achib Heedry,TRUE
3462_01,Europa,TRUE,C,115,P,C/115/P,TRAPPIST-1e,28,FALSE,0,,0,0,0,Achib Ingascomet,TRUE
0378_07,Europa,TRUE,B,11,S,B/11/S,TRAPPIST-1e,32,FALSE,0,0,0,0,0,Achib Pirejus,TRUE
3850_03,Europa,FALSE,C,137,S,C/137/S,TRAPPIST-1e,25,FALSE,0,6130,0,36,1,Achib Unteckery,TRUE
7503_01,Europa,TRUE,B,283,S,B/283/S,TRAPPIST-1e,26,FALSE,,0,0,0,0,Achira Capplid,TRUE
7944_01,Europa,FALSE,D,230,S,D/230/S,TRAPPIST-1e,15,FALSE,31,804,1,4732,2577,Achira Reewerpic,FALSE
7538_01,Europa,FALSE,A,81,P,A/81/P,TRAPPIST-1e,48,TRUE,313,2864,0,0,12424,Achira Uncionted,FALSE
6348_01,Europa,FALSE,C,238,S,C/238/S,55 Cancri e,24,FALSE,49,13342,,1885,6985,Achira Unhaftimle,FALSE
5112_02,Europa,TRUE,C,198,S,C/198/S,55 Cancri e,25,FALSE,0,0,0,0,0,Achiram Ainatint,TRUE
4323_02,Europa,FALSE,C,136,P,C/136/P,TRAPPIST-1e,29,FALSE,0,82,542,1185,459,Achiram Ambleeve,
6055_02,Europa,TRUE,C,185,P,C/185/P,TRAPPIST-1e,41,FALSE,0,0,0,0,0,Achiram Prefule,TRUE
8969_01,Europa,FALSE,C,299,P,C/299/P,55 Cancri e,21,FALSE,0,846,4407,0,2491,Achiram Turtertive,TRUE
3656_01,Europa,FALSE,E,217,P,E/217/P,55 Cancri e,32,FALSE,0,2802,0,21,360,Achirk Tairbatic,
4930_02,Europa,FALSE,B,161,P,B/161/P,TRAPPIST-1e,51,FALSE,0,3571,106,0,0,Achium Alenter,TRUE
3747_01,Europa,FALSE,B,118,P,B/118/P,TRAPPIST-1e,39,FALSE,0,2576,0,234,237,Achium Entratable,FALSE
6151_01,Europa,FALSE,,,,,TRAPPIST-1e,33,FALSE,0,187,0,2758,564,Achium Hometerval,
8136_02,Europa,FALSE,C,268,P,C/268/P,TRAPPIST-1e,60,FALSE,0,5998,0,4794,8,Achium Inderad,FALSE
4131_01,Europa,TRUE,C,147,S,C/147/S,TRAPPIST-1e,34,FALSE,0,0,0,,0,Achium Pokematic,TRUE
0539_02,Europa,TRUE,C,18,P,C/18/P,55 Cancri e,36,FALSE,0,0,0,0,0,Achyon Nalanet,TRUE
0922_02,Europa,FALSE,B,35,P,B/35/P,55 Cancri e,31,FALSE,0,1095,0,169,1226,Achyon Obedaming,FALSE
0612_01,Europa,TRUE,B,25,P,B/25/P,TRAPPIST-1e,27,TRUE,0,0,0,0,0,Achyon Ranaly,TRUE
3039_01,Europa,FALSE,A,37,S,A/37/S,TRAPPIST-1e,32,FALSE,0,0,0,0,0,Acraban Conamminal,FALSE
1502_01,Earth,FALSE,C,54,P,C/54/P,55 Cancri e,25,FALSE,0,170,1,601,7470,Acraban Foraud,
3876_03,Europa,TRUE,C,138,S,C/138/S,55 Cancri e,37,FALSE,0,0,0,0,0,Acraban Inghtal,
1563_01,Europa,TRUE,B,68,S,B/68/S,55 Cancri e,25,FALSE,0,0,0,0,0,Acraban Inkcablel,
0032_01,Europa,TRUE,D,0,S,D/0/S,TRAPPIST-1e,20,FALSE,0,0,0,0,0,Acrabi Pringry,
7518_01,Europa,TRUE,B,246,P,B/246/P,TRAPPIST-1e,26,FALSE,0,0,0,0,0,Acrabih Droning,TRUE
3318_01,Europa,FALSE,B,123,S,B/123/S,TRAPPIST-1e,39,FALSE,0,957,0,22,401,Acrabih Openduave,TRUE
3972_01,Europa,TRUE,D,133,P,D/133/P,55 Cancri e,26,FALSE,0,0,0,0,0,Acrabik Coarswing,
5488_02,Europa,FALSE,B,186,P,B/186/P,TRAPPIST-1e,15,FALSE,0,22,6805,0,531,Acrabik Hoorherve,TRUE
4147_02,Europa,TRUE,C,149,S,C/149/S,TRAPPIST-1e,45,FALSE,0,0,0,0,0,Acrabik Lendly,TRUE
1909_02,Europa,TRUE,C,64,P,C/64/P,TRAPPIST-1e,16,FALSE,0,0,0,0,0,Acruxa Prighty,
3292_04,Europa,FALSE,B,121,S,B/121/S,TRAPPIST-1e,25,TRUE,0,0,0,0,0,Acruxon Discuous,TRUE
3396_01,Europa,TRUE,B,106,P,B/106/P,TRAPPIST-1e,23,FALSE,0,0,0,0,0,Acruxon Mirinanty,TRUE
8730_01,Europa,FALSE,C,288,P,C/288/P,55 Cancri e,44,FALSE,0,29,1319,172,2562,Acruxon Pretive,
4169_02,Europa,FALSE,D,140,P,D/140/P,TRAPPIST-1e,41,FALSE,0,1562,0,2,16,Acruxon Susent,TRUE
6674_04,Europa,TRUE,E,426,P,E/426/P,TRAPPIST-1e,25,FALSE,0,0,0,0,0,Acruxon Swirring,TRUE
2871_01,Europa,TRUE,B,88,P,B/88/P,TRAPPIST-1e,17,FALSE,0,0,0,,0,Acruxon Unregul,TRUE
6325_01,Earth,TRUE,G,1026,S,G/1026/S,TRAPPIST-1e,34,FALSE,0,0,0,0,0,Adamie Benney,TRUE
2668_02,Earth,FALSE,G,424,S,G/424/S,55 Cancri e,34,FALSE,0,382,0,87,236,Adamie Ingston,FALSE
4899_02,Earth,FALSE,G,799,S,G/799/S,PSO J318.5-22,32,FALSE,8,690,3,5,0,Adamie Leonzaley,TRUE
9074_01,Earth,TRUE,G,1460,S,G/1460/S,TRAPPIST-1e,0,FALSE,0,0,,0,0,Adamie Trerady,TRUE
6812_01,Earth,FALSE,G,1105,S,G/1105/S,TRAPPIST-1e,31,FALSE,1,227,0,495,0,Adammy Barris,
6046_01,Earth,FALSE,F,1149,S,F/1149/S,PSO J318.5-22,13,FALSE,1,154,486,43,0,Adammy Blanglison,
2591_01,Earth,FALSE,F,499,S,F/499/S,PSO J318.5-22,18,FALSE,9,419,0,201,7,Adammy Coolerson,FALSE
5359_01,Mars,FALSE,F,1099,P,F/1099/P,TRAPPIST-1e,27,FALSE,0,45,225,14,519,Adammy Hinglendez,FALSE
7236_01,Earth,TRUE,,,,,TRAPPIST-1e,16,FALSE,0,0,0,0,0,Adammy Whitakers,TRUE
7465_01,Earth,FALSE,E,497,S,E/497/S,TRAPPIST-1e,25,FALSE,61,0,701,75,68,Adammy Workmanson,
4303_01,Earth,FALSE,F,803,S,F/803/S,55 Cancri e,15,FALSE,36,841,0,0,0,Adamy Dayers,TRUE
0161_01,Earth,FALSE,F,35,P,F/35/P,55 Cancri e,27,FALSE,,11,0,0,1172,Adamy Donson,
9052_01,Earth,FALSE,G,1457,S,G/1457/S,TRAPPIST-1e,36,FALSE,0,17,204,559,3,Adamy Hestes,FALSE
5090_04,Earth,TRUE,G,821,P,G/821/P,TRAPPIST-1e,7,FALSE,0,0,0,0,0,Adamy Willy,FALSE
